"Linea Produzione Schede Madri (SMT)","Alta","UPS Schneider Electric 10kVA","Power","Emanuele Costa","emanuele.costa@electrocore.it","PowerGrid Italia"
"Linea Produzione Schede Madri (SMT)","Alta","Pick and Place Yamaha YSM20R","Macchina SMT","Emanuele Costa","emanuele.costa@electrocore.it","Global SMT Corp"
"Linea Produzione Schede Madri (SMT)","Alta","Forno di Rifusione Heller 1913","Forno Industriale","Emanuele Costa","emanuele.costa@electrocore.it","TechMachinery GmbH"
"Linea Produzione Schede Madri (SMT)","Alta","Stampatrice Serigrafica DEK NeoHorizon","Stampatrice","Emanuele Costa","emanuele.costa@electrocore.it","Global SMT Corp"
"Linea Produzione Schede Madri (SMT)","Alta","Gateway IoT Produzione","Gateway","Emanuele Costa","emanuele.costa@electrocore.it","SmartFactory Integrators"
"Monitoraggio Ambientale Camera Bianca","Alta","Sensore Particellare Camera Bianca","Sensore IoT","Martina Barbieri","martina.barbieri@electrocore.it","CleanRoom Services"
"Monitoraggio Ambientale Camera Bianca","Alta","Condizionatore Precisione Emerson","HVAC","Martina Barbieri","martina.barbieri@electrocore.it","Alpha Cooling Systems"
"Sistema Test di Burn-in Componenti","Alta",\N,\N,"Anna De Santis","anna.desantis@electrocore.it","Manutenzione Interna"
"Repository Codice Sorgente (GitLab)","Alta",\N,\N,"Carlo Marino","carlo.marino@electrocore.it","Manutenzione Interna"
"Gestione Identità e Accessi (Active Directory)","Alta",\N,\N,"Diana Gallo","diana.gallo@electrocore.it","Manutenzione Interna"
"Backup e Disaster Recovery Cloud","Alta","Storage NAS TrueNAS Enterprise","Storage","Ilaria Lombardi","ilaria.lombardi@electrocore.it","Backup Cloud Services"
"Backup e Disaster Recovery Cloud","Alta","Unità Backup LTO-9","Storage","Ilaria Lombardi","ilaria.lombardi@electrocore.it","Backup Cloud Services"
"Sistema Controllo Accessi Fisici (Badge)","Alta","Server Cluster Proxmox 01","Server Fisico","Riccardo Mariani","riccardo.mariani@electrocore.it","CloudData Enterprise"
